id,name,full_name,team,position,cost,total_points,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,chance_of_playing_next_round,news,status,form,selected_by_percent,transfers_in,transfers_out,games_played,bonus_points,influence,creativity,threat,ict_index
217,Foster,Lyle Foster,Burnley,4,5.0,33,760,2,1,3,2,0,100.0,,a,1.2,1.3,413848,334106,9,4,124.0,82.8,117.0,32.0
218,Barnes,Ashley Barnes,Burnley,4,4.3,1,7,0,0,0,0,0,,,a,0.0,1.2,102865,237870,0,0,0.2,0.3,0.0,0.1
219,Obafemi,Michael Obafemi,Burnley,4,4.4,0,0,0,0,0,0,0,0.0,has joined VfL Bochum  on loan for the rest of the season.,u,0.0,0.1,4151,38204,0,0,0.0,0.0,0.0,0.0
470,Dúbravka,Martin Dúbravka,Burnley,1,4.0,40,1260,0,0,2,0,0,100.0,,a,1.8,33.8,1130905,745713,14,2,398.0,0.0,0.0,39.9
676,Ugochukwu,Lesley Ugochukwu,Burnley,3,5.0,36,708,2,1,2,0,1,100.0,,a,2.2,0.1,22339,15603,8,3,143.2,46.2,103.0,29.0
680,Broja,Armando Broja,Burnley,4,5.2,8,111,0,0,0,0,0,100.0,,a,1.0,0.1,11560,27152,0,0,15.6,7.7,37.0,6.3
722,Florentino,Florentino Ibrain Morris Luís,Burnley,3,5.0,37,884,0,1,2,1,0,,,a,3.2,0.1,9712,5480,10,0,206.8,99.8,31.0,34.0
66,Neto,Norberto Murara Neto,Bournemouth,1,4.5,0,0,0,0,0,0,0,0.0,Has joined Botafogo permanently.,u,0.0,0.1,0,15399,0,0,0.0,0.0,0.0,0.0
67,Petrović,Đorđe Petrović,Bournemouth,1,4.5,45,1260,0,0,4,1,0,,,a,1.5,5.7,686511,380692,14,1,320.0,0.0,0.0,32.1
68,Dennis,Will Dennis,Bournemouth,1,4.0,0,0,0,0,0,0,0,,,a,0.0,1.0,42532,55553,0,0,0.0,0.0,0.0,0.0
69,McKenna,Callan McKenna,Bournemouth,1,4.0,0,0,0,0,0,0,0,,,a,0.0,0.2,6602,10482,0,0,0.0,0.0,0.0,0.0
70,Paulsen,Alex Paulsen,Bournemouth,1,4.0,0,0,0,0,0,0,0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,u,0.0,0.1,1107,8982,0,0,0.0,0.0,0.0,0.0
71,Zabarnyi,Illia Zabarnyi,Bournemouth,2,5.0,0,0,0,0,0,0,0,0.0,Has joined Paris Saint-Germain permanently.,u,0.0,0.0,0,8065,0,0,0.0,0.0,0.0,0.0
72,Senesi,Marcos Senesi Barón,Bournemouth,2,5.0,63,1157,0,3,4,5,0,100.0,,a,1.8,20.4,3748902,1501729,13,6,429.2,174.4,39.0,64.3
73,Smith,Adam Smith,Bournemouth,2,4.4,11,296,0,0,1,0,0,100.0,,a,0.8,0.2,16312,33144,5,0,23.6,16.8,8.0,4.8
74,Truffert,Adrien Truffert,Bournemouth,2,4.5,50,1232,0,1,4,3,0,,,a,1.2,2.3,389542,194876,14,6,295.0,244.5,66.0,60.5
75,Akinmboni,Matai Akinmboni,Bournemouth,2,3.9,0,0,0,0,0,0,0,25.0,Muscle injury - 25% chance of playing,d,0.0,0.2,11495,25286,0,0,0.0,0.0,0.0,0.0
76,Bevan,Owen Bevan,Bournemouth,2,3.9,0,0,0,0,0,0,0,,,a,0.0,0.2,7119,12917,0,0,0.0,0.0,0.0,0.0
77,Hill,James Hill,Bournemouth,2,4.0,17,273,0,0,2,1,0,,,a,0.0,0.7,89815,91298,2,0,44.0,5.3,41.0,9.1
78,J.Araujo,Julián Araujo Zúñiga,Bournemouth,2,3.9,0,0,0,0,0,0,0,100.0,,a,0.0,0.7,27249,95889,0,0,0.0,0.0,0.0,0.0
79,Mepham,Chris Mepham,Bournemouth,2,4.0,0,0,0,0,0,0,0,0.0,has joined West Bromwich Albion permanently.,u,0.0,0.1,1400,15380,0,0,0.0,0.0,0.0,0.0
80,Soler,Julio Soler Barreto,Bournemouth,2,4.0,2,21,0,0,0,0,0,100.0,,a,0.2,0.2,10603,21804,0,0,0.6,1.8,2.0,0.4
81,Kluivert,Justin Kluivert,Bournemouth,3,7.0,21,480,1,0,2,3,0,100.0,,a,1.2,0.8,144424,183105,5,1,77.0,132.3,55.0,26.3
82,Semenyo,Antoine Semenyo,Bournemouth,3,7.7,80,1170,6,4,4,3,0,100.0,,a,1.2,50.4,7565325,2740722,13,9,362.0,220.1,363.0,94.7
84,Tavernier,Marcus Tavernier,Bournemouth,3,5.5,56,1066,3,1,5,1,0,,,a,2.8,2.0,441378,277119,12,6,241.2,308.1,207.0,75.8
85,Adams,Tyler Adams,Bournemouth,3,5.0,49,1192,2,1,4,5,0,0.0,Suspended until 15 Dec,s,3.5,0.5,72185,56075,14,3,262.2,74.0,105.0,44.3
86,Brooks,David Brooks,Bournemouth,3,5.0,22,628,0,1,3,5,0,100.0,,a,0.5,0.2,59143,62558,8,1,91.0,172.9,166.0,42.4
87,Christie,Ryan Christie,Bournemouth,3,5.0,17,271,1,1,0,1,0,0.0,Knee injury - Expected back 26 Dec,i,0.5,0.1,6566,12097,1,0,78.6,57.1,84.0,22.1
88,Cook,Lewis Cook,Bournemouth,3,4.9,7,214,0,0,0,0,1,0.0,Suspended until 20 Dec,s,0.8,0.0,3611,3601,1,0,47.0,82.2,8.0,13.9
89,Philip,Philip Billing,Bournemouth,3,4.9,0,0,0,0,0,0,0,0.0,Has joined Midtjylland permanently.,u,0.0,0.0,598,6435,0,0,0.0,0.0,0.0,0.0
90,Scott,Alex Scott,Bournemouth,3,5.0,41,896,1,1,4,2,0,,,a,1.8,0.3,57411,42310,13,2,165.0,125.4,81.0,36.7
91,Sinisterra,Luis Sinisterra Lucumí,Bournemouth,3,5.0,0,0,0,0,0,0,0,0.0,Has joined Cruzeiro on loan for the rest of the season.,u,0.0,0.0,396,3797,0,0,0.0,0.0,0.0,0.0
92,Faivre,Romain Faivre,Bournemouth,3,4.5,0,0,0,0,0,0,0,0.0,has joined Al Taawoun permanently.,u,0.0,0.1,3740,17987,0,0,0.0,0.0,0.0,0.0
93,H.Traorè,Hamed Traorè,Bournemouth,3,4.5,4,16,0,1,0,0,0,0.0,has joined Marseille on loan for the rest of the season.,u,0.0,0.3,114900,157931,0,0,21.2,10.0,0.0,3.1
94,Sadi,Dominic Sadi,Bournemouth,3,4.5,0,0,0,0,0,0,0,0.0,has joined Novi Pazar on loan for the rest of the season.,u,0.0,0.0,3895,7568,0,0,0.0,0.0,0.0,0.0
95,Silcott-Duberry,Zain Silcott-Duberry,Bournemouth,3,4.4,0,0,0,0,0,0,0,0.0,has joined Olympiakos permanently.,u,0.0,0.1,15405,19429,0,0,0.0,0.0,0.0,0.0
96,Winterburn,Ben Winterburn,Bournemouth,3,4.5,1,6,0,0,0,0,0,0.0,has joined Barnet on loan for the rest of the season.,u,0.0,0.0,2964,9413,0,0,0.0,0.0,0.0,0.0
97,Evanilson,Francisco Evanilson de Lima Barbosa,Bournemouth,4,7.0,36,919,1,3,3,1,0,100.0,,a,3.2,1.5,541514,623271,10,2,68.4,145.4,311.0,52.3
98,Enes Ünal,Enes Ünal,Bournemouth,4,5.4,8,31,1,0,0,1,0,100.0,,a,1.8,0.0,5399,2966,0,1,36.0,1.6,39.0,7.5
99,Adu-Adjei,Daniel Adu-Adjei,Bournemouth,4,4.4,0,0,0,0,0,0,0,0.0,has joined HNK Rijeka permanently.,u,0.0,0.2,22144,41006,0,0,0.0,0.0,0.0,0.0
100,Kroupi.Jr,Junior Kroupi,Bournemouth,4,4.6,35,406,4,0,2,1,0,,,a,1.5,4.3,779119,405158,5,4,157.8,58.7,192.0,40.7
391,Gannon-Doak,Ben Gannon-Doak,Bournemouth,3,4.9,7,53,0,1,0,0,0,0.0,Hamstring injury - Unknown return date,i,0.0,0.0,4474,7153,0,0,21.2,14.0,11.0,4.7
685,Diakité,Bafodé Diakité,Bournemouth,2,4.4,35,945,0,0,3,1,0,100.0,,a,1.2,0.4,83021,66572,11,2,208.6,44.9,18.0,27.2
687,Rees-Dottin,Remy Rees-Dottin,Bournemouth,3,4.4,0,0,0,0,0,0,0,,,a,0.0,0.1,11879,12335,0,0,0.0,0.0,0.0,0.0
697,Adli,Amine Adli,Bournemouth,3,5.4,17,368,1,0,0,0,0,,,a,2.5,0.0,6336,4955,3,0,103.6,71.0,92.0,26.6
713,A.Jimenez,Álex Jiménez Sánchez,Bournemouth,2,4.5,13,544,0,0,1,4,0,,,a,1.0,0.0,3563,2177,6,0,90.0,48.2,35.0,17.3
721,Milosavljević,Veljko Milosavljevic,Bournemouth,2,4.5,17,365,0,0,1,0,0,,,a,1.5,0.0,5425,3432,4,0,98.4,13.9,10.0,12.2
756,DaCosta,Malcom DaCosta,Bournemouth,3,4.5,0,0,0,0,0,0,0,,,a,0.0,0.0,30,1,0,0,0.0,0.0,0.0,0.0
27,Nelson,Reiss Nelson,Brentford,3,4.8,3,31,0,0,0,0,0,100.0,,a,0.5,0.1,8159,14909,0,0,16.2,2.4,9.0,2.7
83,O.Dango,Dango Ouattara,Brentford,3,6.0,58,884,3,4,3,3,0,100.0,,a,5.8,1.0,283972,190160,10,6,166.6,89.3,299.0,55.0
101,Kelleher,Caoimhín Kelleher,Brentford,1,4.5,38,1260,0,0,2,1,0,100.0,,a,2.0,7.6,338866,640165,14,0,284.0,10.0,0.0,29.5
102,Balcombe,Ellery Balcombe,Brentford,1,4.0,0,0,0,0,0,0,0,,,a,0.0,0.3,10617,16988,0,0,0.0,0.0,0.0,0.0
103,Cox,Matthew Cox,Brentford,1,4.0,0,0,0,0,0,0,0,,,a,0.0,0.1,4316,7436,0,0,0.0,0.0,0.0,0.0
104,Eyestone,Julian Eyestone,Brentford,1,3.9,0,0,0,0,0,0,0,,,a,0.0,0.1,8188,4765,0,0,0.0,0.0,0.0,0.0
105,Valdimarsson,Hákon Rafn Valdimarsson,Brentford,1,3.9,0,0,0,0,0,0,0,,,a,0.0,0.7,30308,51692,0,0,0.0,0.0,0.0,0.0
106,Collins,Nathan Collins,Brentford,2,4.9,38,1186,0,0,2,4,0,,,a,2.0,1.1,84093,147751,13,2,295.8,47.4,136.0,48.1
107,Lewis-Potter,Keane Lewis-Potter,Brentford,2,4.8,23,488,0,1,2,1,0,,,a,0.5,0.3,21486,40054,5,0,72.2,76.3,37.0,18.4
108,Ajer,Kristoffer Ajer,Brentford,2,4.4,24,557,0,2,1,0,0,100.0,,a,1.2,0.2,11555,16710,6,0,105.6,15.5,97.0,22.0
109,Henry,Rico Henry,Brentford,2,4.3,9,278,0,0,0,1,0,,,a,1.0,0.1,5138,12863,2,0,25.8,15.8,16.0,5.7
110,Kayode,Michael Kayode,Brentford,2,4.5,38,1222,0,1,2,1,0,,,a,2.0,0.5,88788,57042,14,5,238.8,236.9,48.0,52.5
