player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
614,James Ward-Prowse,15,0,0,0.0,10,10,0,0,stable
615,Crysencio Summerville,15,153,2,30.6,3,3,565,7,decreasing
616,Edson Álvarez Velázquez,15,0,0,0.0,10,15,0,0,stable
617,Maxwel Cornet,15,0,0,0.0,10,15,0,0,stable
618,Guido Rodríguez,15,63,1,12.6,8,6,82,1,increasing
619,Luis Guilherme Lira dos Santos,15,67,2,13.4,7,5,80,0,increasing
620,George Earthy,15,0,0,0.0,10,15,0,0,stable
621,Andy Irving,15,7,1,1.4,6,4,132,2,decreasing
622,Lewis Orford,15,0,0,0.0,10,15,0,0,stable
623,Freddie Potts,15,346,5,69.2,1,3,522,5,increasing
624,Jarrod Bowen,15,450,5,90.0,0,0,900,10,stable
625,Niclas Füllkrug,15,28,2,5.6,6,4,178,2,decreasing
626,Callum Marshall,15,0,0,0.0,8,7,58,0,decreasing
659,Kyle Walker-Peters,15,52,2,10.4,3,3,220,1,decreasing
671,Callum Wilson,15,302,5,60.4,3,3,427,5,increasing
679,Mads Hermansen,15,0,0,0.0,10,11,0,0,stable
708,Mateus Gonçalo Espanha Fernandes,13,424,5,84.8,0,0,758,8,stable
718,Soungoutou Magassa,12,184,4,36.8,3,1,313,3,increasing
738,Lukasz Fabianski,12,0,0,0.0,10,12,0,0,stable
747,Ezra Mayers,6,7,1,1.4,5,5,7,0,insufficient_data
752,Airidas Golambeckis,5,0,0,0.0,5,5,0,0,insufficient_data
758,Mohamadou Kanté,2,7,1,3.5,1,1,7,0,insufficient_data
627,Sam Johnstone,15,450,5,90.0,0,3,900,10,stable
628,José Malheiro de Sá,15,0,0,0.0,10,10,0,0,stable
629,Daniel Bentley,15,0,0,0.0,10,15,0,0,stable
631,Emmanuel Agbadou,15,360,4,72.0,3,2,470,4,increasing
632,Matt Doherty,15,0,0,0.0,8,7,111,1,decreasing
633,Hugo Bueno López,15,125,4,25.0,1,1,555,6,decreasing
634,Yerson Mosquera Valdelamar,15,246,3,49.2,5,3,292,3,increasing
