id,name,full_name,team,position,total_minutes,games_played,total_points,recent_minutes,recent_games,minutes_per_recent_game,times_unavailable_last_10,estimated_injury_count,goals,assists,yellow_cards,red_cards,chance_of_playing,news,status,form,influence,creativity,threat,ict_index,selected_by_percent,estimated_age
432,Onana,André Onana,Man Utd,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Trabzonspor on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.2,23
433,Harrison,Elyh Harrison,Man Utd,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,On loan to Shrewsbury Town,u,0.0,0.0,0.0,0.0,0.0,0.0,23
434,Heaton,Tom Heaton,Man Utd,1,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.3,23
435,Mee,Dermot Mee,Man Utd,1,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,23
436,De Ligt,Matthijs de Ligt,Man Utd,2,1170,13,43,270,3,90.0,2,0,1,0,0,0,75,Knock - 75% chance of playing,d,1.0,276.6,60.2,122.0,45.7,3.1,27
437,Martinez,Lisandro Martínez,Man Utd,2,31,0,3,31,3,10.333333333333334,7,0,0,0,0,0,100,,a,0.8,13.0,2.1,0.0,1.5,0.1,22
438,Mazraoui,Noussair Mazraoui,Man Utd,2,439,6,17,296,5,59.2,4,0,0,0,1,0,100,,a,1.8,106.6,51.1,14.0,17.1,0.2,25
439,D.Leon,Diego León Blanco,Man Utd,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,22
440,Dalot,Diogo Dalot Teixeira,Man Utd,2,864,10,45,282,5,56.4,0,0,1,3,0,0,100,,a,5.8,193.8,192.4,76.0,46.2,1.1,27
441,Dorgu,Patrick Dorgu,Man Utd,2,708,7,20,165,5,33.0,0,0,0,1,4,0,100,,a,1.0,127.8,153.2,96.0,37.7,2.4,27
442,Maguire,Harry Maguire,Man Utd,2,341,4,33,71,1,71.0,6,7,1,1,0,0,100,Hamstring injury - Unknown return date,i,0.0,86.8,16.3,40.0,14.3,0.5,22
443,Shaw,Luke Shaw,Man Utd,2,1281,15,34,438,5,87.6,0,0,0,1,2,0,100,,a,1.5,219.8,106.3,13.0,33.9,0.6,27
444,Yoro,Leny Yoro,Man Utd,2,847,9,28,227,5,45.4,0,0,0,1,0,0,100,,a,1.2,142.4,54.3,32.0,22.8,1.5,27
445,Amass,Harry Amass,Man Utd,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Sheffield Wednesday on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,22
446,Fredricson,Tyler Fredricson,Man Utd,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,22
447,Heaven,Ayden Heaven,Man Utd,2,141,2,6,113,2,56.5,7,0,0,1,1,0,100,,a,0.5,50.8,11.2,6.0,6.8,1.4,22
448,Malacia,Tyrell Malacia,Man Utd,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.4,22
449,B.Fernandes,Bruno Borges Fernandes,Man Utd,3,1340,15,85,450,5,90.0,0,0,4,6,2,0,100,,a,8.8,518.8,655.0,305.0,148.1,21.7,26
450,Cunha,Matheus Santos Carneiro da Cunha,Man Utd,3,849,10,34,237,3,79.0,2,0,1,1,0,0,100,,a,2.0,168.4,180.2,258.0,60.7,3.7,26
451,Rashford,Marcus Rashford,Man Utd,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Barcelona on loan for the rest of the season,u,0.0,0.0,0.0,0.0,0.0,0.0,21
452,Amad,Amad Diallo,Man Utd,3,1113,13,49,450,5,90.0,1,0,1,4,1,0,100,,a,3.0,244.6,373.7,241.0,86.1,1.8,26
454,Antony,Antony dos Santos,Man Utd,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Real Betis permanently.,u,0.0,0.0,0.0,0.0,0.0,0.1,21
455,Mount,Mason Mount,Man Utd,3,579,7,39,248,5,49.6,2,0,3,0,0,0,100,,a,4.2,138.0,128.9,123.0,39.0,0.4,26
457,Casemiro,Carlos Henrique Casimiro,Man Utd,3,931,13,61,385,5,77.0,1,0,3,3,4,1,100,,a,3.5,267.4,137.1,166.0,57.2,1.4,26
458,Mainoo,Kobbie Mainoo,Man Utd,3,183,0,10,45,3,15.0,3,0,0,0,0,0,100,,a,0.8,36.6,75.8,15.0,12.8,0.4,21
459,Ugarte,Manuel Ugarte Ribeiro,Man Utd,3,312,2,14,31,2,15.5,4,0,0,0,0,0,100,,a,0.2,55.4,28.8,2.0,8.5,0.1,21
460,Collyer,Toby Collyer,Man Utd,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined West Bromwich Albion on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
461,Fitzgerald,Jayce Fitzgerald,Man Utd,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,21
462,J.Fletcher,Jack Fletcher,Man Utd,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,21
463,Kone,Sékou Koné,Man Utd,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,21
464,Moorhouse,Jack Moorhouse,Man Utd,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Leyton Orient on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
465,Højlund,Rasmus Højlund,Man Utd,4,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Napoli on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.3,21
466,Zirkzee,Joshua Zirkzee,Man Utd,4,345,3,17,263,4,65.75,4,0,1,0,1,0,100,,a,3.2,76.6,73.2,134.0,28.1,0.6,21
467,Obi,Chido Obi,Man Utd,4,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,1.4,21
468,Wheatley,Ethan Wheatley,Man Utd,4,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Northampton Town on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,21
681,Šeško,Benjamin Sesko,Man Utd,4,616,6,31,32,1,32.0,4,4,2,1,1,0,100,Knee injury - Expected back 15 Dec,i,0.0,122.6,97.8,221.0,43.5,3.1,26
733,Lammens,Senne Lammens,Man Utd,1,810,9,24,450,5,90.0,1,0,0,0,0,0,100,,a,2.0,161.2,0.0,2.0,16.3,1.8,28
755,Lacey,Shea Lacey,Man Utd,3,0,0,0,0,0,0.0,4,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,21
52,J.Ramsey,Jacob Ramsey,Newcastle,3,299,2,7,175,3,58.333333333333336,5,0,0,0,2,0,100,,a,0.5,42.0,113.5,48.0,20.4,0.2,21
135,Wissa,Yoane Wissa,Newcastle,4,16,0,1,16,1,16.0,9,0,0,0,0,0,100,,a,0.2,0.2,2.1,4.0,0.6,0.5,21
469,Pope,Nick Pope,Newcastle,1,1066,12,55,166,2,83.0,3,3,0,1,1,0,100,Groin Injury - Expected back 26 Dec,i,0.8,311.2,0.0,0.0,31.1,6.4,28
471,Gillespie,Mark Gillespie,Newcastle,1,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,23
472,Odysseas,Odysseas Vlachodimos,Newcastle,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Sevilla on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,23
473,Hall,Lewis Hall,Newcastle,2,428,4,20,295,5,59.0,5,0,0,1,0,0,100,,a,2.8,125.6,57.0,48.0,23.0,1.1,22
474,Schär,Fabian Schär,Newcastle,2,606,6,33,182,4,45.5,4,0,0,0,0,0,100,,a,2.0,160.2,29.6,27.0,21.8,1.7,27
475,Botman,Sven Botman,Newcastle,2,655,8,32,103,2,51.5,3,5,0,0,0,0,100,Back injury - Expected back 14 Dec,i,0.2,169.6,35.2,43.0,24.7,0.4,27
476,Burn,Dan Burn,Newcastle,2,1214,14,66,314,4,78.5,1,0,0,3,3,1,100,,a,4.5,258.8,72.2,60.0,39.1,8.4,27
477,Livramento,Tino Livramento,Newcastle,2,886,10,45,360,4,90.0,5,0,0,1,1,0,100,,a,2.0,163.8,128.2,32.0,32.4,3.4,27
478,Trippier,Kieran Trippier,Newcastle,2,699,8,30,90,1,90.0,5,6,0,0,1,0,100,Hamstring injury - Expected back 26 Dec,i,0.0,113.0,230.7,4.0,34.6,1.5,27
479,Krafth,Emil Krafth,Newcastle,2,45,1,0,0,0,0.0,9,14,0,0,0,0,100,Knee injury - Expected back 26 Dec,i,0.0,1.4,1.2,0.0,0.3,0.0,22
480,Lascelles,Jamaal Lascelles,Newcastle,2,19,0,1,0,0,0.0,9,0,0,0,0,0,100,,a,0.0,10.2,0.0,7.0,1.7,0.1,22
481,A.Murphy,Alex Murphy,Newcastle,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.7,22
482,Ashby,Harrison Ashby,Newcastle,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,22
483,Pivas,Miodrag Pivaš,Newcastle,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.5,22
484,Targett,Matt Targett,Newcastle,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Middlesbrough on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.2,22
485,Gordon,Anthony Gordon,Newcastle,3,559,8,29,98,3,32.666666666666664,2,0,2,0,0,1,100,,a,4.2,120.4,133.8,175.0,42.6,2.2,26
486,Elanga,Anthony Elanga,Newcastle,3,600,6,25,202,5,40.4,0,0,0,1,0,0,100,,a,2.2,75.8,137.9,97.0,31.1,3.0,26
487,Barnes,Harvey Barnes,Newcastle,3,683,7,44,295,4,73.75,1,0,3,0,0,0,100,,a,5.0,162.4,154.4,245.0,55.9,2.3,26
