id,code,web_name,first_name,second_name,full_name,team_id,team_name,team_short_name,team_strength,position_id,position,status,status_description,chance_of_playing_next,chance_of_playing_this,news,news_added,minutes,starts,expected_starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost,selected_by_percent,in_dreamteam,fetch_date,current_gameweek,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend,total_upcoming_fixtures,next_5_fixtures_count,avg_days_between_fixtures,congestion_level,home_fixtures_upcoming,away_fixtures_upcoming
35,462381,Marschall,Filip,Marschall,Filip Marschall,2,Aston Villa,AVL,3,1,GK,u,Unavailable,0.0,0.0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
36,199796,Cash,Matty,Cash,Matty Cash,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,2025-11-20T10:30:09.177815Z,1322,15,1.98,3,1,5,14,0,0,0,0,3,0,344.0,219.4,106.0,67.0,4.8,9.7,False,2025-12-10 15:30:26,15,15,446,5,89.2,0,0,889,10,stable,23,5,12.5,Low,11,12
37,101188,Digne,Lucas,Digne,Lucas Digne,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,2025-10-23T13:30:07.954318Z,972,12,1.83,0,3,5,8,0,0,0,0,2,0,179.0,222.2,61.0,46.0,4.5,1.9,False,2025-12-10 15:30:26,15,15,245,4,49.0,1,1,665,7,decreasing,23,5,12.5,Low,11,12
38,199798,Konsa,Ezri,Konsa Ngoyo,Ezri Konsa Ngoyo,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,2025-11-18T09:30:07.536725Z,1235,14,0.51,0,0,5,14,0,0,0,0,0,1,254.0,52.3,60.0,36.8,4.4,7.8,False,2025-12-10 15:30:26,15,15,450,5,90.0,0,1,900,10,stable,23,5,12.5,Low,11,12
39,441302,Maatsen,Ian,Maatsen,Ian Maatsen,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,,373,3,1.1,0,0,0,7,0,0,0,0,1,0,89.4,109.9,63.0,26.3,4.2,0.4,False,2025-12-10 15:30:26,15,15,204,3,40.8,3,1,232,2,increasing,23,5,12.5,Low,11,12
40,149484,Mings,Tyrone,Mings,Tyrone Mings,2,Aston Villa,AVL,3,2,DEF,i,Injured,0.0,0.0,Hamstring injury - Expected back 03 Jan,2025-11-02T00:00:09.519584Z,497,6,0.42,0,0,2,6,0,0,0,0,0,0,120.2,44.6,25.0,19.0,4.3,0.6,False,2025-12-10 15:30:26,15,15,0,0,0.0,8,5,47,0,decreasing,23,5,12.5,Low,11,12
41,244954,Pau,Pau,Torres,Pau Torres,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,,952,10,0.44,0,1,3,11,1,0,0,0,0,0,207.6,17.3,26.0,25.3,4.3,0.6,False,2025-12-10 15:30:26,15,15,445,5,89.0,0,2,846,9,stable,23,5,12.5,Low,11,12
42,606798,A.García,Andrés,García,Andrés García,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,2025-10-23T13:30:07.986013Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.2,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
43,106468,Alex Moreno,Álex,Moreno Lopera,Álex Moreno Lopera,2,Aston Villa,AVL,3,2,DEF,u,Unavailable,0.0,0.0,Has joined Girona permanently.,2025-08-26T13:45:03.013808Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,2.0,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
44,515597,Bogarde,Lamare,Bogarde,Lamare Bogarde,2,Aston Villa,AVL,3,2,DEF,a,Available,100.0,100.0,,2025-11-20T10:30:09.224047Z,318,3,0.1,0,0,1,2,0,0,0,0,1,0,41.2,33.5,6.0,8.0,4.0,0.6,False,2025-12-10 15:30:26,15,15,36,5,7.2,3,3,206,2,decreasing,23,5,12.5,Low,11,12
